Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-20000,342,66,2,Clothing,Shirt,COD
B-20001,4418,556,3,Electronics,Printers,Credit Card
B-20001,1989,854,2,Clothing,T-shirt,COD
B-20002,4146,1609,5,Electronics,Phones,COD
B-20003,472,-86,3,Clothing,Skirt,Debit Card
B-20003,5830,529,2,Furniture,Chairs,COD
B-20004,519,186,1,Electronics,Accessories,Credit Card
B-20004,1929,733,5,Clothing,Saree,EMI
B-20004,664,411,5,Clothing,Kurti,UPI
B-20005,5373,334,4,Electronics,Phones,COD
B-20005,323,41,1,Clothing,Saree,UPI
B-20006,5521,780,5,Electronics,Phones,COD
B-20006,4835,1707,2,Electronics,Accessories,UPI
B-20007,977,193,1,Furniture,Furnishings,Credit Card
B-20007,1311,-22,2,Clothing,Trousers,EMI
B-20008,2591,939,2,Furniture,Bookcases,COD
B-20009,5267,1923,3,Electronics,Accessories,UPI
B-20010,4112,1274,5,Furniture,Bookcases,Credit Card
B-20011,5381,2170,4,Electronics,Printers,UPI
B-20011,4553,1048,3,Electronics,Electronic Games,COD
B-20012,1383,-318,5,Clothing,Shirt,Debit Card
B-20012,4819,479,2,Furniture,Bookcases,UPI
B-20013,1357,232,5,Furniture,Tables,EMI
B-20014,1109,295,3,Electronics,Accessories,UPI
B-20015,5003,3074,2,Electronics,Accessories,COD
B-20016,678,390,1,Clothing,T-shirt,UPI
B-20016,4307,870,1,Furniture,Chairs,COD
B-20017,355,34,4,Clothing,Trousers,EMI
B-20017,1822,873,5,Clothing,Stole,UPI
B-20018,1577,-779,1,Clothing,Trousers,UPI
B-20018,1054,608,1,Clothing,Kurti,Debit Card
B-20019,3010,1776,4,Electronics,Electronic Games,UPI
B-20019,1897,702,4,Furniture,Bookcases,UPI
B-20020,591,183,4,Clothing,T-shirt,UPI
B-20020,2898,482,1,Electronics,Accessories,UPI
B-20020,1990,743,2,Electronics,Phones,Debit Card
B-20021,1094,258,3,Electronics,Printers,COD
B-20022,1219,423,4,Clothing,Saree,UPI
B-20022,1740,747,2,Electronics,Accessories,Credit Card
B-20023,4539,1064,1,Furniture,Bookcases,UPI
B-20024,1085,-110,4,Clothing,Leggings,COD
B-20025,719,-282,1,Clothing,Hankerchief,UPI
B-20025,1341,184,4,Clothing,Saree,COD
B-20026,2743,420,3,Furniture,Chairs,Credit Card
B-20027,3596,1750,4,Electronics,Accessories,UPI
B-20027,115,41,2,Clothing,Stole,COD
B-20027,308,197,4,Electronics,Electronic Games,UPI
B-20028,4280,846,4,Furniture,Tables,EMI
B-20029,5116,2229,4,Electronics,Printers,Debit Card
B-20030,3848,1392,5,Electronics,Electronic Games,COD
B-20031,503,-218,3,Clothing,Kurti,Debit Card
B-20031,1460,246,4,Furniture,Bookcases,UPI
B-20032,1951,974,2,Clothing,Leggings,UPI
B-20032,1716,862,1,Clothing,Kurti,EMI
B-20033,1116,240,4,Clothing,Hankerchief,UPI
B-20033,1520,603,1,Electronics,Accessories,Debit Card
B-20034,960,239,1,Furniture,Tables,Credit Card
B-20034,2104,652,4,Electronics,Electronic Games,COD
B-20035,4069,1807,5,Electronics,Electronic Games,UPI
B-20036,2160,150,5,Furniture,Furnishings,Debit Card
B-20036,5150,2402,4,Furniture,Chairs,UPI
B-20037,867,492,2,Electronics,Accessories,UPI
B-20038,4732,1704,4,Electronics,Accessories,Credit Card
B-20038,2596,1020,4,Furniture,Bookcases,EMI
B-20038,4906,1714,2,Furniture,Furnishings,Credit Card
B-20039,600,263,1,Furniture,Bookcases,Credit Card
B-20040,1003,478,5,Clothing,Skirt,Debit Card
B-20041,1748,722,2,Clothing,Kurti,EMI
B-20042,138,69,4,Clothing,Saree,Credit Card
B-20042,571,-273,2,Clothing,Saree,Debit Card
B-20043,2827,1732,1,Electronics,Accessories,UPI
B-20044,958,280,2,Furniture,Tables,UPI
B-20045,1860,342,2,Clothing,Stole,Credit Card
B-20045,1467,650,5,Furniture,Bookcases,COD
B-20046,784,367,1,Clothing,Kurti,COD
B-20047,4040,1503,3,Furniture,Tables,Credit Card
B-20047,4775,424,1,Electronics,Phones,UPI
B-20047,1575,546,5,Electronics,Phones,Debit Card
B-20048,1278,859,2,Clothing,Saree,Credit Card
B-20048,47,11,4,Clothing,Trousers,Debit Card
B-20048,4581,428,3,Electronics,Accessories,EMI
B-20049,1787,655,1,Clothing,Leggings,COD
B-20050,338,224,4,Clothing,Skirt,Debit Card
B-20050,3304,1240,3,Furniture,Chairs,Credit Card
B-20051,1280,354,4,Clothing,Skirt,UPI
B-20052,365,-57,1,Clothing,T-shirt,COD
B-20053,4559,2593,1,Electronics,Electronic Games,Credit Card
B-20054,1587,-503,3,Clothing,Hankerchief,UPI
B-20055,5786,2781,5,Furniture,Tables,COD
B-20055,1773,190,2,Clothing,Stole,COD
B-20056,1177,29,4,Furniture,Chairs,COD
B-20057,300,9,4,Clothing,Hankerchief,UPI
B-20058,1855,413,2,Furniture,Tables,COD
B-20059,2662,306,3,Furniture,Tables,COD
B-20059,497,63,1,Clothing,Saree,COD
B-20060,834,185,1,Clothing,T-shirt,UPI
B-20061,1279,197,3,Clothing,Kurti,Debit Card
B-20062,4154,1108,5,Electronics,Printers,UPI
B-20062,244,13,2,Clothing,Kurti,UPI
B-20063,305,-50,3,Clothing,Kurti,UPI
B-20064,4253,2232,4,Electronics,Phones,EMI
B-20065,2116,942,3,Furniture,Furnishings,COD
B-20066,2971,1432,1,Electronics,Phones,Debit Card
B-20067,841,208,5,Furniture,Tables,COD
B-20068,4772,1104,2,Furniture,Tables,Credit Card
B-20069,1573,20,2,Clothing,Trousers,UPI
B-20069,2282,462,5,Furniture,Furnishings,COD
B-20070,3724,507,2,Electronics,Printers,Debit Card
B-20071,768,398,1,Clothing,T-shirt,COD
B-20071,5509,3386,1,Electronics,Printers,Debit Card
B-20072,2639,1615,4,Electronics,Electronic Games,Credit Card
B-20073,2232,833,1,Furniture,Furnishings,COD
B-20074,564,153,3,Furniture,Furnishings,COD
B-20075,1516,1054,2,Clothing,Shirt,UPI
B-20076,1644,810,4,Clothing,Leggings,UPI
B-20076,5785,1467,4,Furniture,Bookcases,COD
B-20077,3441,491,2,Electronics,Phones,COD
B-20078,1611,-262,4,Clothing,Kurti,UPI
B-20079,1208,216,4,Clothing,Hankerchief,COD
B-20079,1115,321,4,Furniture,Furnishings,COD
B-20080,5457,1677,3,Furniture,Bookcases,COD
B-20080,412,50,2,Clothing,Shirt,UPI
B-20081,420,98,2,Electronics,Accessories,Credit Card
B-20082,968,133,2,Furniture,Chairs,UPI
B-20083,1943,333,1,Furniture,Furnishings,UPI
B-20084,2055,496,5,Electronics,Printers,Credit Card
B-20085,1391,917,5,Clothing,Trousers,Debit Card
B-20085,1920,-76,1,Clothing,Shirt,Credit Card
B-20086,207,-33,2,Clothing,T-shirt,Debit Card
B-20087,3891,1032,5,Furniture,Bookcases,UPI
B-20088,538,235,3,Clothing,Skirt,COD
B-20088,1600,-583,2,Clothing,Hankerchief,COD
B-20088,1019,534,2,Clothing,T-shirt,Debit Card
B-20089,5111,488,5,Electronics,Electronic Games,COD
B-20089,2271,177,5,Electronics,Phones,Debit Card
B-20090,4699,1708,3,Furniture,Furnishings,COD
B-20091,1038,424,4,Furniture,Chairs,COD
B-20092,1158,143,4,Electronics,Printers,EMI
B-20093,2079,175,2,Electronics,Electronic Games,COD
B-20093,3968,2071,1,Electronics,Electronic Games,EMI
B-20094,1757,-214,5,Clothing,T-shirt,Credit Card
B-20094,654,152,2,Clothing,Shirt,COD
B-20095,784,-68,4,Clothing,Saree,COD
B-20096,579,171,2,Furniture,Chairs,COD
B-20097,945,210,2,Clothing,Saree,UPI
B-20098,1778,201,1,Furniture,Bookcases,COD
B-20099,65,33,5,Clothing,Hankerchief,Debit Card
B-20099,340,32,3,Electronics,Phones,EMI
B-20100,1675,-27,4,Clothing,Kurti,Credit Card
B-20101,3285,259,5,Electronics,Phones,Debit Card
B-20101,3174,594,2,Electronics,Printers,EMI
B-20102,3950,329,1,Furniture,Bookcases,COD
B-20103,1479,374,1,Furniture,Furnishings,Debit Card
B-20103,3268,223,2,Furniture,Chairs,UPI
B-20104,951,413,5,Furniture,Bookcases,UPI
B-20105,4213,992,2,Electronics,Electronic Games,EMI
B-20105,853,-81,2,Clothing,Leggings,Credit Card
B-20106,4436,680,2,Furniture,Tables,UPI
B-20107,1442,-700,5,Clothing,Trousers,COD
B-20108,742,-332,3,Clothing,T-shirt,Credit Card
B-20109,3271,174,1,Electronics,Accessories,COD
B-20110,1780,908,5,Clothing,Stole,UPI
B-20111,1765,690,2,Clothing,Leggings,COD
B-20111,1650,202,1,Furniture,Chairs,COD
B-20112,3625,1799,5,Electronics,Electronic Games,COD
B-20112,764,182,3,Furniture,Tables,COD
B-20112,802,383,4,Clothing,Hankerchief,Credit Card
B-20113,1071,622,2,Electronics,Accessories,UPI
B-20114,405,153,4,Clothing,Skirt,EMI
B-20114,1848,45,1,Furniture,Furnishings,COD
B-20115,1158,517,2,Furniture,Furnishings,EMI
B-20115,586,50,3,Clothing,Kurti,COD
B-20115,4142,492,5,Electronics,Printers,Debit Card
B-20116,2729,731,3,Electronics,Electronic Games,EMI
B-20116,105,-34,5,Clothing,Trousers,Debit Card
B-20116,628,40,3,Clothing,Stole,Credit Card
B-20117,1438,583,2,Electronics,Accessories,Credit Card
B-20117,4932,1787,2,Electronics,Electronic Games,COD
B-20117,2463,1172,3,Electronics,Electronic Games,Credit Card
B-20118,3901,886,4,Electronics,Electronic Games,COD
B-20119,1690,424,2,Electronics,Phones,UPI
B-20120,3987,1207,2,Electronics,Electronic Games,Credit Card
B-20121,4328,1177,1,Electronics,Electronic Games,COD
B-20121,5330,382,5,Electronics,Accessories,COD
B-20121,3950,642,2,Electronics,Electronic Games,COD
B-20122,57,23,5,Clothing,Saree,COD
B-20122,4055,1934,2,Furniture,Tables,UPI
B-20123,795,-132,4,Clothing,Skirt,UPI
B-20123,535,30,3,Clothing,Leggings,EMI
B-20124,3191,270,1,Electronics,Phones,UPI
B-20125,1630,1110,5,Clothing,Kurti,Credit Card
B-20125,427,246,5,Electronics,Accessories,Debit Card
B-20125,567,50,3,Furniture,Chairs,UPI
B-20126,4631,2110,2,Electronics,Printers,EMI
B-20126,2316,373,5,Electronics,Electronic Games,UPI
B-20127,5110,2043,5,Furniture,Chairs,COD
B-20128,5453,2128,1,Furniture,Bookcases,Debit Card
B-20129,4305,781,1,Electronics,Accessories,UPI
B-20130,1155,671,3,Clothing,Kurti,COD
B-20131,1625,-28,2,Clothing,T-shirt,UPI
B-20131,1508,-722,1,Clothing,Saree,UPI
B-20132,5430,1031,4,Furniture,Chairs,COD
B-20132,717,447,3,Clothing,Skirt,COD
B-20133,1825,-234,5,Clothing,Saree,Credit Card
B-20134,2312,277,3,Electronics,Phones,UPI
B-20135,5410,2483,5,Furniture,Tables,COD
B-20136,340,122,2,Clothing,Kurti,COD
B-20137,1861,848,5,Electronics,Electronic Games,COD
B-20138,3621,1842,1,Electronics,Accessories,Debit Card
B-20138,2824,465,4,Electronics,Printers,EMI
B-20139,3451,1851,5,Electronics,Accessories,COD
B-20139,72,44,1,Clothing,Leggings,Credit Card
B-20140,1824,1038,4,Electronics,Phones,UPI
B-20141,951,-190,1,Clothing,Kurti,COD
B-20142,2079,328,2,Furniture,Tables,EMI
B-20142,1652,41,5,Clothing,Saree,COD
B-20142,2650,865,2,Electronics,Electronic Games,COD
B-20143,2375,883,3,Furniture,Furnishings,COD
B-20144,3720,2129,4,Electronics,Phones,Debit Card
B-20144,1339,-512,4,Clothing,Saree,Credit Card
B-20145,2195,733,1,Electronics,Accessories,COD
B-20146,2331,660,1,Furniture,Tables,COD
B-20146,4382,1154,1,Furniture,Tables,Credit Card
B-20147,2467,1451,5,Electronics,Electronic Games,UPI
B-20147,2604,574,4,Electronics,Printers,UPI
B-20147,3840,343,2,Electronics,Printers,COD
B-20148,940,-224,4,Clothing,Shirt,UPI
B-20149,4729,288,4,Furniture,Chairs,Debit Card
B-20150,4760,1796,1,Furniture,Bookcases,EMI
B-20150,326,168,5,Electronics,Printers,UPI
B-20151,3791,596,4,Furniture,Chairs,COD
B-20152,5046,2062,2,Furniture,Furnishings,Debit Card
B-20153,1821,592,5,Furniture,Bookcases,COD
B-20153,2000,890,2,Electronics,Phones,EMI
B-20153,779,364,1,Furniture,Bookcases,COD
B-20154,2501,654,1,Furniture,Bookcases,Debit Card
B-20155,609,57,4,Furniture,Furnishings,EMI
B-20156,2555,702,1,Furniture,Furnishings,COD
B-20156,1207,-475,4,Clothing,Kurti,Credit Card
B-20156,3939,1637,2,Electronics,Printers,UPI
B-20157,1932,788,1,Clothing,Kurti,UPI
B-20158,1616,60,5,Clothing,Hankerchief,COD
B-20158,2547,776,2,Furniture,Tables,UPI
B-20159,2490,1180,2,Furniture,Bookcases,COD
B-20160,1112,629,1,Electronics,Accessories,EMI
B-20161,477,330,4,Clothing,Hankerchief,Credit Card
B-20161,3459,1192,1,Electronics,Phones,COD
B-20162,1821,1264,3,Clothing,Shirt,COD
B-20162,604,387,2,Electronics,Printers,UPI
